Title,Address,Latitude,Longitude,City,State,Country,Message,Categories,Phone Number,website
XTREME WAKE,"The camp, gantoot Marina, Dubai",24.859962,54.896324,Abu Dhabi,,United Arab Emirates,,Wakeboarding,+971 563423012,http://www.xtremewakeuae.com/
DUBAI WAKE,"DIMC, parking place E-14, Dubai Marina, exit near Barasti Beach.",25.090183,55.145161,Dubai,,United Arab Emirates,,Wakeboarding,+971 56 149 1272,http://www.dubaiwake.com/
AL FORSAN INTERNATIONAL SPORTS RESORT,"Al Forsan Village, Near Khalifa City, Abu Dhabi",24.409472,54.548448,Abu Dhabi,,United Arab Emirates,,Wakeboarding,+9712 556 8555,http://www.alforsan.com/eng/
ROCK REPUBLIC,"Dubai Investment Park -1, Dubai",24.97998,55.174101,Dubai,,United Arab Emirates,,Rock Climbing,+971 4 882 9361,
DORELL SPORTS,"World Trade center metro station, Sheikh Zayed Road, Dubai",25.222017,55.283587,Dubai,,United Arab Emirates,,Rock Climbing,+971 4 306 5061,http://dorellsports.com/home/
KITESURFING UAE,Jumeirah Beach Dubai,25.183201,55.222741,Dubai,,United Arab Emirates,,Kitesurfing,+971 50 600 1151,http://kitesurfinguae.com/
KITESURF SCHOOL DUBAI,Jumeirah Beach Dubai,25.182138,55.221939,Dubai,,United Arab Emirates,,Kitesurfing,+971 50 254 7440,http://kitesurf.ae
